community_code,crime_count
BELTLINE,10833
DOWNTOWN COMMERCIAL CORE,7709
FOREST LAWN,3428
BOWNESS,2688
MANCHESTER INDUSTRIAL,2595
MARLBOROUGH,2533
SUNRIDGE,2422
CRESCENT HEIGHTS,2337
DOVER,2326
BRIDGELAND/RIVERSIDE,2301
SADDLE RIDGE,2281
DOWNTOWN EAST VILLAGE,2264
PINERIDGE,2244
RUNDLE,2230
FALCONRIDGE,2148
HILLHURST,2141
ALBERT PARK/RADISSON HEIGHTS,2130
HUNTINGTON HILLS,2123
ACADIA,2020
MARTINDALE,1942
VARSITY,1901
TEMPLE,1838
WHITEHORN,1781
TUXEDO PARK,1736
RENFREW,1733
FOOTHILLS,1733
TARADALE,1701
PENBROOKE MEADOWS,1686
KILLARNEY/GLENGARRY,1634
BRENTWOOD,1593
MARLBOROUGH PARK,1584
THORNCLIFFE,1572
MONTGOMERY,1571
MOUNT PLEASANT,1562
HAYSBORO,1558
BANKVIEW,1546
SOUTHWOOD,1485
SUNALTA,1464
KINGSLAND,1438
MISSION,1429
SHAWNESSY,1426
FOREST HEIGHTS,1415
ARBOUR LAKE,1411
CAPITOL HILL,1408
MCKENZIE TOWNE,1406
OGDEN,1405
HORIZON,1389
BANFF TRAIL,1387
PANORAMA HILLS,1376
BEDDINGTON HEIGHTS,1365
MAYLAND HEIGHTS,1349
SKYVIEW RANCH,1337
SIGNAL HILL,1303
WEST HILLHURST,1300
ROSSCARROCK,1266
SUNNYSIDE,1258
LAKE BONAVISTA,1255
WESTWINDS,1244
INGLEWOOD,1235
WILLOW PARK,1214
SOUTH CALGARY,1213
HIGHLAND PARK,1176
CALGARY INTERNATIONAL AIRPORT,1162
WINDSOR PARK,1128
EAST SHEPARD INDUSTRIAL,1124
RICHMOND,1123
LOWER MOUNT ROYAL,1121
HOUNSFIELD HEIGHTS/BRIAR HILL,1117
COVENTRY HILLS,1117
ALTADORE,1086
SOUTH AIRWAYS,1078
FRANKLIN,1075
WINSTON HEIGHTS/MOUNTVIEW,1069
ERIN WOODS,1068
DALHOUSIE,1068
AUBURN BAY,1041
CRANSTON,1016
MEADOWLARK PARK,1009
DOUGLASDALE/GLEN,1005
GLENBROOK,994
CLIFF BUNGALOW,979
MERIDIAN,973
GREENVIEW INDUSTRIAL PARK,972
MONTEREY PARK,965
CANYON MEADOWS,952
CASTLERIDGE,936
GLAMORGAN,922
TUSCANY,899
EDGEMONT,855
HIGHFIELD,841
SOUTHVIEW,830
EVERGREEN,817
STONEY 2,806
COPPERFIELD,795
HARVEST HILLS,778
ABBEYDALE,773
MCKENZIE LAKE,772
SAGE HILL,771
MAHOGANY,765
RIVERBEND,756
SETON,755
EVANSTON,755
SILVER SPRINGS,748
APPLEWOOD PARK,729
MIDNAPORE,715
MANCHESTER,693
NEW BRIGHTON,690
DOWNTOWN WEST END,688
WOODLANDS,673
FAIRVIEW,670
NORTH AIRWAYS,663
ST. ANDREWS HEIGHTS,662
SOMERSET,661
FAIRVIEW INDUSTRIAL,655
HIDDEN VALLEY,651
VISTA HEIGHTS,640
COUNTRY HILLS VILLAGE,635
WOODBINE,635
WEST SPRINGS,635
SPRINGBANK HILL,633
FOREST LAWN INDUSTRIAL,628
RANCHLANDS,620
BRIDLEWOOD,606
GLENDALE,605
EAU CLAIRE,596
ALYTH/BONNYBROOK,592
CORNERSTONE,586
SUNDANCE,586
CHAPARRAL,584
BRAESIDE,582
SHEPARD INDUSTRIAL,574
ASPEN WOODS,573
LAKEVIEW,560
SCENIC ACRES,560
LEGACY,559
PARKHILL,552
ROYAL OAK,550
MILLRISE,550
SPRUCE CLIFF,544
EAST FAIRVIEW INDUSTRIAL,538
HIGHWOOD,535
CORAL SPRINGS,512
SHAGANAPPI,503
MCCALL,502
HAWKWOOD,499
CEDARBRAE,496
REDSTONE,486
RAMSAY,486
ELBOW PARK,486
SHERWOOD,483
GREENVIEW,479
02E,473
OAKRIDGE,465
BURNS INDUSTRIAL,464
CHINATOWN,464
UPPER MOUNT ROYAL,455
CHARLESWOOD,442
PARKDALE,440
UNIVERSITY HEIGHTS,433
WALDEN,430
MAYLAND,429
KINCORA,423
NORTH GLENMORE PARK,420
DEER RIDGE,416
STRATHCONA PARK,410
CITADEL,400
SILVERADO,395
KELVIN GROVE,394
SOUTH FOOTHILLS,388
VALLEYFIELD,385
QUEENSLAND,385
ELBOYA,379
NOLAN HILL,377
ROCKY RIDGE,377
SANDSTONE VALLEY,370
COUGAR RIDGE,365
PATTERSON,363
ERLTON,362
PALLISER,359
12A,359
WILDWOOD,353
GREAT PLAINS,350
RUTLAND PARK,349
COUNTRY HILLS,343
LINCOLN PARK,341
DEERFOOT BUSINESS CENTRE,340
COLLINGWOOD,339
WESTGATE,339
SADDLE RIDGE INDUSTRIAL,336
CITYSCAPE,334
SHAWNEE SLOPES,320
HAMPTONS,320
VALLEY RIDGE,306
CAMBRIAN HEIGHTS,299
MACEWAN GLEN,299
DEER RUN,298
BELVEDERE,284
ROSEDALE,283
EAGLE RIDGE,278
RED CARPET,272
EASTFIELD,258
DISCOVERY RIDGE,255
LIVINGSTON,253
STONEY 3,249
COACH HILL,244
SKYLINE WEST,238
STARFIELD,237
MAPLE RIDGE,235
NORTH HAVEN,231
UNIVERSITY DISTRICT,229
GLENMORE PARK,226
PARKLAND,225
STONEY 1,208
UNIVERSITY OF CALGARY,208
CHRISTIE PARK,205
SCARBORO,205
CHINOOK PARK,201
ROYAL VISTA,200
ROSEMONT,198
NOSE HILL PARK,187
GOLDEN TRIANGLE,181
CARRINGTON,179
GARRISON WOODS,164
PEGASUS,162
STONEGATE LANDING,161
PUMP HILL,156
GARRISON GREEN,153
BRITANNIA,145
SECTION 23,138
SKYLINE EAST,131
10E,130
CRESTMONT,128
FISH CREEK PARK,127
STONEY 4,114
POINT MCKAY,112
BAYVIEW,109
RIDEAU PARK,106
AURORA BUSINESS PARK,105
GREENWOOD/GREENBRIAR,99
12J,88
01K,87
09O,83
CURRIE BARRACKS,81
QUEENS PARK VILLAGE,77
SYMONS VALLEY RANCH,69
BONAVISTA DOWNS,68
SCARBORO/ SUNALTA WEST,67
ROXBORO,65
09Q,63
BEL-AIRE,61
GLENDEER BUSINESS PARK,59
PINE CREEK,56
MAYFAIR,54
DIAMOND COVE,52
OGDEN SHOPS,51
NORTH HAVEN UPPER,50
HOMESTEAD,48
BELMONT,47
RANGEVIEW,46
HASKAYNE,45
CANADA OLYMPIC PARK,44
09K,43
WOLF WILLOW,35
MEDICINE HILL,35
YORKVILLE,34
12L,32
13F,30
02F,29
03W,26
01B,25
HOTCHKISS,25
05D,24
12B,24
GLACIER RIDGE,24
ALPINE PARK,22
09P,22
02C,21
10D,20
13G,19
AMBLETON,15
06A,12
05F,12
01F,11
13M,10
09H,9
12C,6
02K,6
06B,5
12I,4
TWINHILLS,3
02B,3
06C,2
12K,2
13A,2
02L,1
13E,1
13C,1
01I,1
01H,1
LEWISBURG,1
