Variable,PC1,PC2
Nickel Dissolved,-0.0434680986381497,0.38583397545000964
Nickel Total Recoverable,0.025844969909527404,0.37519438638753955
Lead Dissolved,0.3561335762980566,0.2555408122928199
Copper Total Recoverable,0.3340929899989805,0.29991184395881365
Copper Dissolved,0.3317280335775713,0.29604653580706897
Vanadium Dissolved,0.315689034559603,-0.19101690342155822
Lead Total Recoverable,0.30606343322521057,0.2595246968208514
Nitrogen Kjeldahl Total,0.2948195275870226,-0.13725897421734332
Vanadium Total Recoverable,0.2619834944984724,-0.1811424318429194
Mercury Total,0.24612609513575853,0.057279639814746264
Nitrogen Kjeldahl Dissolved,0.14258773213469472,-0.24185666471553802
Aluminum Dissolved,0.21471170345914353,-0.006865394778270845
Calcium Dissolved,0.21216393787034854,-0.21458172002301906
Calcium Total,0.19252659887784446,-0.2052896761653073
pH,0.11959899697471847,-0.1869226003483149
Turbidity,0.12171671599524451,-0.18687816847953226
Methyl Mercury,0.10178959914587402,-0.15712644466494904
Oxygen Dissolved (Field Meter),-0.09735767875693582,0.15578895700472348
OXYGEN BIOCHEMICAL DEMAND,0.09302600486670799,-0.14305813671314896
Aluminum Total Recoverable,0.1423210358303612,-0.053023762547368444
Oxygen dissolved % saturation,0.08336021618885826,-0.10614170559770729
Mercury Dissolved,0.0719586406334068,-0.039128761836278385
Phosphorus Total Dissolved,0.0308097384209908,0.059760294242138204
Phosphorus Total,-0.005217430791922863,-0.05913135463416894
