Feature,Importance
pH (Field),0.1662075193843799
Oxygen Dissolved (Field Meter),0.10213920910500862
Oxygen dissolved % saturation,0.08847597175658727
Calcium Dissolved,0.08445773615099232
pH,0.056008047987544836
Phosphorus Total,0.053706090429997244
Nitrogen Kjeldahl Total,0.03818004420067877
Calcium Total,0.03704514452847257
Copper Total Recoverable,0.03502624310480253
Copper Dissolved,0.030677261622292094
Vanadium Dissolved,0.029796085906124096
Aluminum Total Recoverable,0.02945798660652189
Nickel Total Recoverable,0.028637003218560983
Lead Total Recoverable,0.02843985186807701
Vanadium Total Recoverable,0.028404487603967854
Mercury Total,0.02611775657021596
Aluminum Dissolved,0.02530100166309582
Phosphorus Total Dissolved,0.024904691672325927
Lead Dissolved,0.02391856834925806
Nickel Dissolved,0.023871823293251312
Turbidity,0.017697172402718883
Methyl Mercury,0.006957983001808503
Mercury Dissolved,0.0055926467071471435
Nitrogen Kjeldahl Dissolved,0.005284157243023234
OXYGEN BIOCHEMICAL DEMAND,0.003695515623147097
